48, 3, (100.5, 1702.0666666666666, 1681.959649122807), [0.9609987620355505, 0.20610609964580984, 0.507066433589285, 7, 14, 0.8418940134074491, 0.11961903772689908, 0.19917051121690899, 0.26200674737124996, 0.6910128075058681]
48, 4, (98.0, 1690.230701754386, 1717.6166666666668), [0.9609987620355505, 0.20610609964580984, 0.507066433589285, 7, 14, 0.022919622942318085, 0.765473823393178, 0.19917051121690899, 0.26200674737124996, 0.1173103447579249]
48, 5, (97.5, 1685.9026315789474, 1886.495614035088), [0.9609987620355505, 0.20610609964580984, 0.507066433589285, 9, 14, 0.8418940134074491, 0.11961903772689908, 0.19917051121690899, 0.1919985379273813, 0.23557989467289198]
48, 6, (97.5, 1802.7824561403506, 1689.762962962963), [0.9792769234645465, 0.20610609964580984, 0.507066433589285, 7, 4, 0.8418940134074491, 0.11961903772689908, 0.19917051121690899, 0.18188515852994291, 0.8265077115469424]
48, 7, (95.5, 1619.2640350877193, 1819.8114035087717), [0.9609987620355505, 0.6726476815518667, 0.507066433589285, 4, 4, 0.9707413947048525, 0.3705438550855966, 0.19917051121690899, 0.18188515852994291, 0.8265077115469424]
48, 8, (95.5, 1795.3447368421055, 1594.7491228070176), [0.9609987620355505, 0.6726476815518667, 0.507066433589285, 7, 14, 0.022919622942318085, 0.765473823393178, 0.8111664851624496, 0.26200674737124996, 0.04926261229800222]
48, 9, (95.5, 1808.9008771929825, 1600.9008771929825), [0.9609987620355505, 0.20610609964580984, 0.507066433589285, 4, 4, 0.9707413947048525, 0.3705438550855966, 0.19917051121690899, 0.18188515852994291, 0.1173103447579249]
49, 0, (100.5, 1673.5201754385967, 1711.001754385965), [0.9609987620355505, 0.20610609964580984, 0.507066433589285, 4, 4, 0.9707413947048525, 0.3705438550855966, 0.19917051121690899, 0.18188515852994291, 0.1173103447579249]
49, 1, (100.5, 1735.2675438596489, 1805.3447368421055), [0.8175011906121882, 0.6726476815518667, 0.507066433589285, 7, 18, 0.8418940134074491, 0.3705438550855966, 0.19917051121690899, 0.26200674737124996, 0.0036291843755121844]
49, 2, (99.5, 1633.4122807017545, 1763.869298245614), [0.36435576461279895, 0.594665176112311, 0.507066433589285, 7, 14, 0.23539911965782612, 0.765473823393178, 0.5811326435094528, 0.5178800949973833, 0.8265077115469424]
49, 3, (99.5, 1749.830701754386, 1642.7666666666664), [0.9609987620355505, 0.20610609964580984, 0.599239447673266, 9, 14, 0.022919622942318085, 0.765473823393178, 0.19917051121690899, 0.26200674737124996, 0.16962278745242]
49, 4, (98.5, 1731.765789473684, 1720.314912280702), [0.9609987620355505, 0.20610609964580984, 0.507066433589285, 7, 14, 0.022919622942318085, 0.765473823393178, 0.19917051121690899, 0.18188515852994291, 0.1173103447579249]
49, 5, (98.5, 1770.4105263157896, 1673.900396825397), [0.9609987620355505, 0.6726476815518667, 0.507066433589285, 4, 4, 0.9707413947048525, 0.3705438550855966, 0.19917051121690899, 0.18188515852994291, 0.8265077115469424]
49, 6, (97.5, 1705.3670426065164, 1735.9394736842105), [0.9609987620355505, 0.20610609964580984, 0.507066433589285, 7, 14, 0.022919622942318085, 0.765473823393178, 0.19917051121690899, 0.26200674737124996, 0.1173103447579249]
49, 7, (97.0, 1756.2070175438594, 1725.2570175438595), [0.4010692026404221, 0.6726476815518667, 0.507066433589285, 7, 14, 0.022919622942318085, 0.765473823393178, 0.19917051121690899, 0.26200674737124996, 0.8265077115469424]
49, 8, (96.5, 1739.0289473684213, 1651.084210526316), [0.9609987620355505, 0.6726476815518667, 0.507066433589285, 7, 14, 0.022919622942318085, 0.765473823393178, 0.19917051121690899, 0.26200674737124996, 0.8265077115469424]
49, 9, (95.5, 1721.1131578947368, 1536.1815789473685), [0.01394054080148921, 0.6726476815518667, 0.507066433589285, 2, 4, 0.022919622942318085, 0.765473823393178, 0.4435203038081791, 0.18188515852994291, 0.8265077115469424]
